"Language","original","english","czech","german","russian","polish","hungarian","italian","spanish","french","chinese","japanese","portuguese","chinesesimp",

"str_iz_offroadhatchback0","Lada Niva 4X4","Lada Niva 4X4","Lada Niva 4X4","Lada Niva 4X4","Lada Niva 4X4","Lada Niva 4X4","Lada Niva 4X4","Lada Niva 4X4","Lada Niva 4X4","Lada Niva 4X4","Lada Niva 4X4","Ada 4WD","Lada Niva 4X4","Lada Niva 4X4",

"str_iz_civiliansedan0","GAZ-24 „Volga“","GAZ-24 „Volga“","GAZ-24 „Volga“","GAZ-24 „Volga“","GAZ-24 „Volga“","GAZ-24 „Volga“","GAZ-24 „Volga“","GAZ-24 „Volga“","GAZ-24 „Volga“","Olga 24","GAZ-24 „Volga“","GAZ-24 „Volga“","GAZ-24 „Volga“","GAZ-24 „Volga“",

"str_iz_civhatchback0","VW Golf II","VW Golf II","VW Golf II","VW Golf II","VW Golf II","VW Golf II","VW Golf II","VW Golf II","VW Golf II","Gunter 2","VW Golf II","VW Golf II","VW Golf II","VW Golf II",

"str_iz_sedan_020","Škoda 120","Škoda 120","Škoda 120","Škoda 120","Škoda 120","Škoda 120","Škoda 120","Škoda 120","Škoda 120","Škoda 120","Škoda 120","Škoda 120 セダン","Škoda 120","Škoda 120",

"str_v3s_covered0","Praga V3S","Praga V3S","Praga V3S","Praga V3S","Praga V3S","Praga V3S","Praga V3S","Praga V3S","Praga V3S","Praga V3S","Praga V3S","Praga V3S","Praga V3S","Praga V3S",

	"str_iz_v3s_chassis0","Praga V3S Chassis","Praga V3S Chassis","Korba Praga V3S","Praga V3S-Fahrgestell","Шасси Praga V3S","Podwozie od Praga V3S","Praga V3S Chassis","Telaio Praga V3S","Chasis de Praga V3S","Châssis de Praga V3S","Praga V3S 底盤","Praga V3S シャシー","Praga V3S Chassis","Praga V3S 底盘",

	"str_iz_v3s_cargo0","Praga V3S Cargo Chassis","Praga V3S Cargo Chassis","Nákladní korba Praga V3S","Praga V3S-Transport-Fahrgestell","Шасси Praga V3S с кузовом","Podwozie od ciężarówki Praga V3S","Praga V3S Cargo Chassis","Telaio di carico Praga V3S","Chasis de Praga V3S Cargo","Châssis de Praga V3S Cargo","Praga V3S 貨車底盤","Praga V3S カーゴシャシー","Praga V3S Cargo Chassis","Praga V3S 货物底盘",

	"str_iz_civilianvan0","Civilian Van","Civilian Van","Civilian Van","Civilian Van","Civilian Van","Civilian Van","Civilian Van","Civilian Van","Civilian Van","Civilian Van","Civilian Van","Civilian Van","Civilian Van","Civilian Van",

	"str_iz_transitbus0","Transit Bus","Transit Bus","Transit Bus","Transit Bus","Transit Bus","Transit Bus","Transit Bus","Transit Bus","Transit Bus","Transit Bus","Transit Bus","Transit Bus","Transit Bus","Transit Bus",
