"Language","original","english","czech","german","russian","polish","hungarian","italian","spanish","french","chinese","japanese","portuguese","chinesesimp",

"str_iz_hatchbackwheel0","Lada Niva 4X4 Wheel","Lada Niva 4X4 Wheel","Kolo Lada Niva 4X4","Lada Niva 4X4-Reifen","Колесо Lada Niva 4X4","Koło od Ady 4x4","Lada Niva 4X4 Wheel","Ruota Lada Niva 4X4","Rueda de Lada Niva 4X4","Roue de Lada Niva 4X4","Lada Niva 4X4 輪胎","Ada 4WD 車輪","Lada Niva 4X4 Wheel","Lada Niva 4X4 车轮",
"str_iz_hatchbackwheel1","A wheel of the Lada Niva 4X4 off-road. Deep-treaded tire is used to improve vehicle driving capabilities in terrain.","A wheel of the Lada Niva 4X4 off-road. Deep-treaded tire is used to improve vehicle driving capabilities in terrain.","Kolo terénního vozu Lada Niva 4X4. Pneumatika s terénním vzorkem k zvýšení ovladatelnosti vozidla v terénu.","Ein Reifen für den Lada Niva 4X4-Offroader. Das tiefe Profil sorgt für guten Halt in schwierigem Gelände.","Колесо внедорожника Lada Niva 4X4. Шина с ярко выраженным протектором для лучшей маневренности в условиях бездорожья.","Koło terenówki Lada Niva 4X4. Głęboki bieżnik polepsza właściwości terenowe pojazdu.","A wheel of the Lada Niva 4X4 off-road. Deep-treaded tire is used to improve vehicle driving capabilities in terrain.","Una ruota del fuoristrada Lada Niva 4X4. Pneumatico con scanalature profonde utilizzato per migliorare le capacità di guida del veicolo sui vari terreni.","Una rueda del vehículo todoterreno Lada Niva 4X4. Se usan ruedas con mucho agarre para mejorar la conducción del vehículo en diversos terrenos.","Une roue pour Ada 4x4. La sculpture de la bande de roulement assure l'adhérence du véhicule en terrain accidenté.","Lada Niva 4X4 越野車的輪胎。深胎紋設計，能提升車子在複雜地形中的性能。","Ada 4WD オフロードの車輪。溝の深いトレッドパターンを持つタイヤは、起伏の多い地形での車両の走行能力を高めてくれる。","A wheel of the Lada Niva 4X4 off-road. Deep-treaded tire is used to improve vehicle driving capabilities in terrain.","Lada Niva 4X4 越野车的车轮。深花纹轮胎用于提高车辆在地形中的行驶能力。",

"str_iz_civsedanwheel0","GAZ-24 „Volga“ Wheel","GAZ-24 „Volga“ Wheel","Kolo GAZ-24 „Volga“","GAZ-24 „Volga“-Reifen","Колесо GAZ-24 „Volga“","Koło od Olgi 24","GAZ-24 „Volga“ Wheel","Ruota GAZ-24 „Volga“","Rueda de GAZ-24 „Volga“","Roue de Olga 24","GAZ-24 „Volga“ 輪胎","GAZ-24 „Volga“ 車輪","GAZ-24 „Volga“ Wheel","GAZ-24 „Volga“ 车轮",
"str_iz_civsedanwheel1","A wheel of the GAZ-24 „Volga“ sedan. Tire pattern is designed for high performance on common road surfaces.","A wheel of the GAZ-24 „Volga“ sedan. Tire pattern is designed for high performance on common road surfaces.","Kolo sedanu GAZ-24 „Volga“. Vzorek pneumatiky je navržen k vysokým rychlostem na běžném povrchu vozovky.","Ein Reifen für die GAZ-24 „Volga“-Limousine. Das Reifenprofil ist für gewöhnliche Straßenbeläge optimiert.","Колесо седана GAZ-24 „Volga“. Рисунок протектора обеспечивает высокую маневренность на обычных дорожных покрытиях.","Koło sedana GAZ-24 „Volga“. Wzór bieżnika usprawnia jazdę po normalnych drogach.","A wheel of the GAZ-24 „Volga“ sedan. Tire pattern is designed for high performance on common road surfaces.","Una ruota della berlina GAZ-24 „Volga“. Pneumatico con battistrada concepito per offrire prestazioni elevate sulle strade ordinarie.","Una rueda para la berlina GAZ-24 „Volga“. El patrón de la rueda está diseñado para ofrecer un gran rendimiento en superficies comunes.","Une roue pour berline Olga 24. Le pneu offre de très bonnes performances sur route.","GAZ-24 „Volga“ 四門客車的輪胎。輪胎紋路是專為一般路面所設計，性能優異。","GAZ-24 „Volga“ セダンの車輪。タイヤの模様は通常の道路で高性能を見せるようにデザインされている。","A wheel of the GAZ-24 „Volga“ sedan. Tire pattern is designed for high performance on common road surfaces.","GAZ-24 „Volga“ 轿车的车轮。轮胎花纹设计旨在适应普通道路路面，保持高性能。",

"str_iz_civhatchbackwheel0","VW Golf II Wheel","VW Golf II Wheel","Kolo Gunter 2","VW Golf II-Reifen","Колесо VW Golf II","Koło od Guntera 2","VW Golf II Wheel","Ruota VW Golf II","Rueda de VW Golf II","Roue de Gunter 2","VW Golf II 輪胎","VW Golf II 車輪","VW Golf II Wheel","VW Golf II 车轮",
"str_iz_civhatchbackwheel1","Wheel of the VW Golf II hatchback. Tire pattern is designed for high performance on normal road surfaces.","Wheel of the VW Golf II hatchback. Tire pattern is designed for high performance on normal road surfaces.","Kolo hatchbacku Gunter 2. Vzorek pneumatiky je navržen k vysokým rychlostem na běžném povrchu vozovky.","Ein Reifen für die VW Golf II-Kombilimousine. Das Reifenprofil ist für gewöhnliche Straßenbeläge optimiert.","Колесо хэтчбека VW Golf II. Рисунок протектора обеспечивает высокую маневренность на нормальных дорожных покрытиях.","Koło hatchbacka VW Golf II. Wzór bieżnika usprawnia jazdę po normalnych drogach.","Wheel of the VW Golf II hatchback. Tire pattern is designed for high performance on normal road surfaces.","Una ruota della due volumi VW Golf II. Pneumatico con battistrada concepito per offrire prestazioni elevate su strade normali.","Rueda para el VW Golf II. El patrón de la rueda está diseñado para ofrecer un gran rendimiento en superficies normales.","Une roue pour berline à hayon Gunter 2. Le pneu offre de très bonnes performances sur route.","VW Golf II 掀背車的輪胎。輪胎紋路是專為一般路面所設計，性能優異。","VW Golf II ハッチバックの車輪。タイヤの模様は普通の道路で高性能を見せるようにデザインされている。","Wheel of the VW Golf II hatchback. Tire pattern is designed for high performance on normal road surfaces.","VW Golf II 掀背车的车轮。轮胎花纹设计可确保在普通道路路面上保持高性能。",

"str_iz_sedan_02_wheel0","Škoda 120 Wheel","Škoda 120 Wheel","Kolo Škoda 120","Škoda 120-Reifen","Колесо Škoda 120","Koło od Škoda 120","Škoda 120 Wheel","Ruota Škoda 120","Rueda de Škoda 120","Roue de Škoda 120","Škoda 120 車輪","Škoda 120 セダン 車輪","Škoda 120 Wheel","Škoda 120 车轮",
"str_iz_sedan_02_wheel1","Wheel of the Škoda 120. The tire pattern isn't really designed for off-road performance.","Wheel of the Škoda 120. The tire pattern isn't really designed for off-road performance.","Kolo vozidla Škoda 120. Vzorek pneumatiky se příliš nehodí do terénu.","Reifen für den Škoda 120. Das Profil ist nicht auf Offroad-Performance ausgelegt.","Колесо Škoda 120. Рисунок протектора не предназначен для езды по бездорожью.","Koło od Škoda 120. Bieżnik opony nie jest przystosowany do jazdy terenowej.","Wheel of the Škoda 120. The tire pattern isn't really designed for off-road performance.","Una ruota della Škoda 120. Pneumatico con battistrada non proprio concepito per prestazioni fuoristrada.","Rueda de Škoda 120. El patrón de las ruedas no está diseñado para ser todoterreno.","Roue de Škoda 120. Le dessin du pneu n'est pas vraiment conçu pour une utilisation tout-terrain.","Škoda 120 的車輪。輪胎圖案設計並不適合越野行駛。","Škoda 120 セダンの車輪。オフロードでの仕様には適していない。","Wheel of the Škoda 120. The tire pattern isn't really designed for off-road performance.","Škoda 120 的车轮。轮胎花纹设计并不适合越野行驶。",

