"Language","original","english","czech","german","russian","polish","hungarian","italian","spanish","french","chinese","japanese","portuguese","chinesesimp",

"str_iz_cfgvehicles_m68optic0","M68 CC-Optic","M68 CC-Optic","M68 CC-Optic","M68 CC-Optic","M68 CC-Optic","M68 CC-Optic","M68 CC-Optic","M68 CC-Optic","M68 CC-Optic","M68 CC-Optic","M68 CC-Optic","M68 CC-Optic","M68 CC-Optic","M68 CC-Optic",
"str_iz_cfgvehicles_m68optic1","Standardized rail-mounted, non-magnifying optics with battery-powered illuminated reticle designed for M4A1 assault rifle.","Standardized rail-mounted, non-magnifying optics with battery-powered illuminated reticle designed for M4A1 assault rifle.","Standardní optika bez zvětšení namontovatelná na lištu určená na útočnou pušku M4A1. Optika má osvětlený záměrný kříž napájený baterií.","Standardisiertes, schienengeführtes Zielfernrohr ohne Vergrößerung und mit batteriebetriebenem Leuchtabsehen. Mit M4A1-Sturmgewehr kompatibel.","Стандартный реечный прицел без увеличения с устройством освещения сетки на батарейке. Разработан для автомата M4A1.","Doczepiany do szyny uniwersalny celownik z podświetlaną siatką bez powiększenia. Pasuje do karabinu szturmowego M4A1.","Standardized rail-mounted, non-magnifying optics with battery-powered illuminated reticle designed for M4A1 assault rifle.","Ottiche prive di zoom montate su scanalatura e standardizzate, con reticolo illuminato alimentato a batteria, progettate per il fucile d’assalto M4A1.","Una mira de acople básico, sin lente de aumento. Incluye una retícula iluminada (la cual requiere batería) que ha sido diseñada específicamente para el fusil de asalto M4A1.","Un viseur standardisé sans grossissement, monté sur rail avec réticule éclairé à pile. Pour le fusil d'assaut M4A1.","無放大功能的標準導軌式光學瞄具，具電池式發光標線，適用於 M4A1 突擊步槍。","M4A1 アサルトライフルのためにデザインされ、電池式で光る十字線を持つ、標準化されたレール取り付け型で拡大機能のない照準器。","Standardized rail-mounted, non-magnifying optics with battery-powered illuminated reticle designed for M4A1 assault rifle.","为 M4A1 突击步枪设计的标准化轨道式非放大光学瞄具，带电池供电的照明分划板。",

"str_iz_cfgvehicles_m4_t3nrdsoptic0","T3N RD-Sights","T3N RD-Sights","T3N RD-Sights","T3N RD-Sights","T3N RD-Sights","T3N RD-Sights","T3N RD-Sights","T3N RD-Sights","T3N RD-Sights","T3N RD-Sights","T3N RD-Sights","T3N RD-Sights","T3N RD-Sights","T3N RD-Sights",
"str_iz_cfgvehicles_m4_t3nrdsoptic1","A standardized rail-mounted, non-magnifying optics with a battery-powered illuminated reticle.","A standardized rail-mounted, non-magnifying optics with a battery-powered illuminated reticle.","Standardní optika bez zvětšení s montáží na lištu s osvětleným záměrným křížem napájeným baterií.","Standardisiertes, schienengeführtes Zielvisier ohne Vergrößerung und mit batteriebetriebenem Leuchtabsehen.","Стандартный реечный прицел без увеличения с устройством освещения сетки на батарейке.","Doczepiany do szyny uniwersalny celownik z podświetlaną siatką bez powiększenia.","A standardized rail-mounted, non-magnifying optics with a battery-powered illuminated reticle.","Ottiche montate su scanalatura, standardizzate, prive di zoom e con reticolo illuminato alimentato a batteria.","Una mira de acople básico y sin lente de aumento que incluye una retícula iluminada que requiere batería.","Un viseur sans grossissement monté sur rail, avec réticule éclairé à pile.","無放大功能的標準導軌式光學瞄具，具電池式發光標線。","電池式で光る十字線を持つ、標準化されたレール取り付け型で拡大機能のない照準器。","A standardized rail-mounted, non-magnifying optics with a battery-powered illuminated reticle.","标准化轨道式非放大光学瞄具，带电池供电的照明分划板。",

"str_iz_cfgvehicles_fnp45_mrdsoptic0","Mini Sights","Mini Sights","Mini optika","Mini-Visier","Мини-прицел","Mały kolimator","Mini Sights","Ottiche mini","Minimiras","Viseur Mini","小型瞄具","ミニ照準器","Mini Sights","迷你瞄具",
"str_iz_cfgvehicles_fnp45_mrdsoptic1","A mounted non-magnifying optics with a battery-powered illuminated reticle. Intended for use with compatible pistols.","A mounted non-magnifying optics with a battery-powered illuminated reticle. Intended for use with compatible pistols.","Optika bez zvětšení s montáží s osvětleným záměrným křížem napájeným baterií. Určená k použití s kompatibilními pistolemi.","Ein montiertes Zielvisier ohne Vergrößerung und mit batteriebetriebenem Leuchtabsehen. Kompatibel mit diversen Pistolen.","Крепящийся прицел без увеличения с устройством освещения сетки на батарейке. Предназначен для использования с совместимыми пистолетами.","Doczepiany do szyny uniwersalny celownik z podświetlaną bateriami siatką bez powiększenia. Pasuje do kompatybilnych pistoletów.","A mounted non-magnifying optics with a battery-powered illuminated reticle. Intended for use with compatible pistols.","Ottiche prive di zoom e con reticolo illuminato alimentato a batteria, concepite per l’utilizzo con le pistole compatibili.","Una mira montada y sin lente de aumento que incluye una retícula iluminada que requiere batería. Se usa con las pistolas compatibles.","Un viseur sans grossissement monté sur rail, avec réticule éclairé à pile. Pour les pistolets compatibles.","無放大功能的安裝式光學瞄具，具電池式發光標線。可搭配某些手槍使用。","電池式で光る十字線を持つ、取り付け型で拡大機能のない照準器。互換性のあるピストルであれば使用できる。","A mounted non-magnifying optics with a battery-powered illuminated reticle. Intended for use with compatible pistols.","安装式非放大光学瞄具，带电池供电的照明分划板。专用于兼容手枪。",

"str_iz_cfgvehicles_reflexoptic0","Reflex Sight","Reflex Sight","Optika Reflex","Reflex-Visier","Прицел Reflex","Kolimator Reflex","Reflex Sight","Ottiche Reflex","Mira Reflex","Viseur Reflex","巴拉卡瞄具","バラカ照準器","Reflex Sight","Reflex 瞄具",
"str_iz_cfgvehicles_reflexoptic1","Standardized rail-mounted, non-magnifying optics with battery-powered illuminated reticle.","Standardized rail-mounted, non-magnifying optics with battery-powered illuminated reticle.","Standardní optika bez zvětšení s montáží na lištu s osvětleným záměrným křížem napájeným baterií.","Standardisiertes, schienengeführtes Zielvisier ohne Vergrößerung und mit batteriebetriebenem Leuchtabsehen.","Стандартный реечный прицел без увеличения с устройством освещения сетки на батарейке.","Doczepiany do szyny uniwersalny celownik z podświetlaną siatką bez powiększenia.","Standardized rail-mounted, non-magnifying optics with battery-powered illuminated reticle.","Ottiche montate su scanalatura, standardizzate, prive di zoom e con reticolo illuminato alimentato a batteria.","Mira de acople básico y sin lente de aumento que incluye una retícula iluminada que requiere batería.","Un viseur sans grossissement standardisé monté sur rail, avec réticule éclairé à pile.","無放大功能的標準導軌式光學瞄具，具電池式發光標線。","電池式で光る十字線を持つ、標準化されたレール取り付け型で拡大機能のない照準器。","Standardized rail-mounted, non-magnifying optics with battery-powered illuminated reticle.","标准化轨道式非放大光学瞄具，配备电池供电的照明分划板。",

"str_iz_cfgvehicles_acogoptic0","ACOG Scope","ACOG Scope","Optika ACOG","ACOG-Zielvisier","Прицел ACOG","Luneta ACOG","ACOG Scope","Mirino ACOG","Mira ACOG","Lunette ACOG","ACOG 瞄鏡","ACOG スコープ","ACOG Scope","ACOG 瞄准镜",
"str_iz_cfgvehicles_acogoptic1","A standardized rail-mounted, 4x magnifying scope with tritium-illuminated reticle designed for M4A1 assault rifle.","A standardized rail-mounted, 4x magnifying scope with tritium-illuminated reticle designed for M4A1 assault rifle.","Standardní optika se zvětšením 4x namontovatelná na lištu, určená na útočnou pušku M4A1. Optika má záměrný kříž osvětlený tritiem.","Standardisiertes, schienengeführtes Zielfernrohr mit 4-facher Vergrößerung und Tritium-Leuchtabsehen. Mit M4A1-Sturmgewehr kompatibel.","Стандартный реечный 4-кратный прицел с тритиевой подсветкой сетки, разработанный для автомата M4A1.","Doczepiany do szyny uniwersalny celownik z podświetlaną trytem siatką i powiększeniem 4x. Pasuje do karabinu szturmowego M4A1.","A standardized rail-mounted, 4x magnifying scope with tritium-illuminated reticle designed for M4A1 assault rifle.","Mirino montato su scanalatura standardizzato con ingrandimento 4x e reticolo illuminato alimentato a trizio, progettato per il fucile d’assalto M4A1.","Un asa de riel estándar, con lente de aumento 4x y una retícula iluminada con tritio. Diseñada para el fusil de asalto M4A1.","Une lunette standardisée à grossissement 4x montée sur rail avec réticule éclairé au tritium. Pour le fusil d'assaut M4A1.","4X 放大倍率的標準導軌式瞄鏡，具氚氣式發光標線，適用於 M4A1 突擊步槍。","M4A1 アサルトライフルのためにデザインされ、三重水素で光る十字線を持つ、標準化されたレール取り付け型の 4x 倍率のスコープ。","A standardized rail-mounted, 4x magnifying scope with tritium-illuminated reticle designed for M4A1 assault rifle.","为 M4A1 突击步枪设计的标准化轨道式 4 倍放大镜，带氚照明分划板。",

"str_iz_cfgvehicles_puscopeoptic0","PU Scope","PU Scope","Optika PU","PU-Zielfernrohr","Прицел ПУ","Luneta PU","PU Scope","Mirino PU","Mira PU","Lunette PU","PU 瞄鏡","PU スコープ","PU Scope","PU 瞄准镜",
"str_iz_cfgvehicles_puscopeoptic1","A side-mounted, 3.5x magnifying scope with a non-illuminated reticle.","A side-mounted, 3.5x magnifying scope with a non-illuminated reticle.","Optika s boční montáží se zvětšením 3,5x s neosvětleným záměrným křížem.","Ein seitlich montiertes Zielfernrohr mit 3,5-facher Vergrößerung und ohne Leuchtabsehen.","Крепящийся сбоку 3,5-кратный прицел с неосвещенной сеткой для винтовки Мосина.","Montowana z boku luneta celownicza o powiększeniu 3,5x (bez podświetlanej siatki).","A side-mounted, 3.5x magnifying scope with a non-illuminated reticle.","Mirino montato lateralmente con ingrandimento 3.5x e reticolo non illuminato.","Montura lateral, mira de 3,5x aumentos con retícula no iluminada.","Une lunette de grossissement 3,5x à fixation latérale et réticule non éclairé.","3.5x 放大倍率的側邊瞄鏡，具消光式標線。","のための光らない十字線を持つ、側面取り付け型で 3.5x 倍率のスコープ。","A side-mounted, 3.5x magnifying scope with a non-illuminated reticle.","的侧装式 3.5x 放大瞄准镜，带非照明分划板。",

"str_iz_cfgvehicles_kashtanoptic0","1P78-1 Kashtan Scope","1P78-1 Kashtan Scope","Optika 1P78-1 Kashtan","1P78-1 Kashtan-Zielfernrohr","Прицел 1P78-1 Kashtan","Luneta 1P78-1 Kashtan","1P78-1 Kashtan Scope","Mirino 1P78-1 Kashtan","Mira 1P78-1 Kashtan","Lunette 1P78-1 Kashtan","1P78-1 Kashtan 瞄鏡","1P78-1 Kashtan スコープ","1P78-1 Kashtan Scope","1P78-1 Kashtan 瞄准镜",
"str_iz_cfgvehicles_kashtanoptic1","Short-ranged mounted scope with 2.8x magnification factor. Compatible with AK based rifles.","Short-ranged mounted scope with 2.8x magnification factor. Compatible with AK based rifles.","Optika s montáží se zvětšením 2,8x na krátkou vzdálenost. Kompatibilní s puškami AK.","Montiertes Zielfernrohr für kurze Distanzen mit 2,8-facher Vergrößerung. Kompatibel mit AK-Gewehren.","Прицел ближнего действия с 2,8-кратным увеличением. Совместим с винтовками AK.","Krótkodystansowa luneta celownicza z powiększeniem 2,8x. Pasuje do karabinów AK.","Short-ranged mounted scope with 2.8x magnification factor. Compatible with AK based rifles.","Mirino a corta distanza montato con fattore di ingrandimento 2.8x. Compatibile con fucili di derivazione AK.","Mira montada de corto alcance, con un factor de 2,8 aumentos. Compatible con fusiles basados en la clase AK.","Une lunette courte distance de grossissement 2,8x pour les fusils de type AK.","安裝式的短距瞄鏡，具有 2.8x 放大倍率。適用於 AK 系列步槍。","2.8x 拡大比率の近距離用搭載型スコープ。KA ベースのライフルと互換性がある。","Short-ranged mounted scope with 2.8x magnification factor. Compatible with AK based rifles.","2.8x 放大倍率短距离安装式瞄准镜。兼容 AK 型步枪。",

"str_iz_cfgvehicles_pso1optic0","PSO-1 Scope","PSO-1 Scope","Optika PSO-1","PSO-1-Zielfernrohr","Прицел ПСО-1","Luneta PSO-1","PSO-1 Scope","Mirino PSO-1","Mira PSO-1","Lunette PSO-1","PSO-1 瞄鏡","PSO-1 スコープ","PSO-1 Scope","PSO-1 瞄准镜",
