"Language","original","english","czech","german","russian","polish","hungarian","italian","spanish","french","chinese","japanese","portuguese","chinesesimp",

"str_iz_cfgweapons_izh43shotgun0","IZH-43","IZH-43","IZH-43","IZH-43","IZH-43","IZH-43","IZH-43","IZH-43","IZH-43","IZH-43","IZH-43","IZH-43","IZH-43","IZH-43",
"str_iz_cfgweapons_izh43shotgun1","Double-barreled break-action shotgun. Old and reliable design, capable of firing both barrels simultaneously. Uses both 12ga bucks and slugs.","Double-barreled break-action shotgun. Old and reliable design, capable of firing both barrels simultaneously. Uses both 12ga bucks and slugs.","Dvouhlavňová zlamovací brokovnice. Stará a spolehlivá konstrukce schopná střelby z obou hlavní současně. Používá broky a jednotné střely ráže 12.","Zweiläufige Schrotflinte mit Kipplauf. Ein altes und zuverlässiges Design. Beide Läufe können zeitgleich abgefeuert werden. Nutzt 12ga-Schrot- und Slugmunition.","Двуствольный дробовик с переломным затвором. Старая надежная конструкция позволяет вести огонь из двух стволов одновременно. Использует как обычные ружейные патроны 12 калибра, так и пули для гладкоствольного оружия.","Strzelba z podwójną, łamaną lufą. Stara i solidna konstrukcja – może strzelać z dwóch luf jednocześnie. Strzela zarówno breneką, jak i śrutem kalibru 12.","Double-barreled break-action shotgun. Old and reliable design, capable of firing both barrels simultaneously. Uses both 12ga bucks and slugs.","Fucile basculante a doppia canna dal design affidabile e di vecchia concezione. Consente di sparare simultaneamente con entrambe le canne e utilizza pallettoni e palle calibro 12.","Una escopeta de doble cañón basculante. Se trata de un diseño antiguo pero eficaz, y puede disparar por ambos cañones a la vez. Usa cartuchos y balas de calibre 12.","Fusil double canon à chargement entièrement manuel. De conception classique, il peut tirer des cartouches de calibre 12 à chevrotine ou à balle simultanément depuis les deux canons.","雙管中折式霰彈槍。老舊而可靠的設計，兩個槍管可同時發射。使用 12ga 鹿彈和彈塊。","二連式の中折式散弾銃。古いが信頼できるデザインで、両銃身から同時に射撃することができる。12ga バックとスラッグを両方使う。","Double-barreled break-action shotgun. Old and reliable design, capable of firing both barrels simultaneously. Uses both 12ga bucks and slugs.","双管折管式霰弹枪。这款可靠的老式霰弹枪可同时用两根枪管开火。使用12ga鹿弹和独头弹。",

"str_iz_cfgweapons_sawedoffizh43shotgun0","Sawed-off IZH-43","Sawed-off IZH-43","Sawed-off IZH-43","Sawed-off IZH-43","Sawed-off IZH-43","Sawed-off IZH-43","Sawed-off IZH-43","Sawed-off IZH-43","Sawed-off IZH-43","Sawed-off IZH-43","Sawed-off IZH-43","Sawed-off IZH-43","Sawed-off IZH-43","Sawed-off IZH-43",
"str_iz_cfgweapons_sawedoffizh43shotgun1","Sawed-off double-barreled break-action shotgun. Old and reliable design, capable of firing both barrels simultaneously. Uses both 12ga bucks and slugs.","Sawed-off double-barreled break-action shotgun. Old and reliable design, capable of firing both barrels simultaneously. Uses both 12ga bucks and slugs.","Upilovaná dvouhlavňová zlamovací brokovnice. Stará a spolehlivá konstrukce schopná střelby z obou hlavní současně. Používá broky a jednotné střely ráže 12.","Abgesägte, zweiläufige Schrotflinte mit Kipplauf. Ein altes und zuverlässiges Design. Beide Läufe können zeitgleich abgefeuert werden. Nutzt 12ga-Schrot- und Slugmunition.","Двуствольный обрез с переломным затвором. Старая надежная конструкция позволяет вести огонь из двух стволов одновременно. Использует как обычные ружейные патроны 12 калибра, так и пули для гладкоствольного оружия.","Strzelba łamana ze skróconą, podwójną lufą. Stara i solidna konstrukcja – może strzelać z dwóch luf jednocześnie. Strzela zarówno breneką, jak i śrutem kalibru 12.","Sawed-off double-barreled break-action shotgun. Old and reliable design, capable of firing both barrels simultaneously. Uses both 12ga bucks and slugs.","Fucile basculante a canne mozze doppie dal design affidabile e di vecchia concezione. Consente di sparare simultaneamente con entrambe le canne e utilizza pallettoni e palle calibro 12.","Una escopeta de doble cañón basculante recortada. Se trata de un diseño antiguo pero eficaz, y puede disparar por ambos cañones a la vez. Usa cartuchos y balas de calibre 12.","Fusil double canon scié à chargement entièrement manuel. De conception classique, il peut tirer des cartouches de calibre 12 à chevrotine ou à balle simultanément depuis les deux canons.","短管式雙管中折式霰彈槍。老舊而可靠的設計，兩個槍管可同時發射。使用 12ga 鹿彈和彈塊。","ソードオフ二連式の中折式散弾銃。古いが信頼できるデザインで、両銃身から同時に射撃することができる。12ga バックとスラッグを両方使う。","Sawed-off double-barreled break-action shotgun. Old and reliable design, capable of firing both barrels simultaneously. Uses both 12ga bucks and slugs.","截短型双管折管式霰弹枪。这款可靠的老式霰弹枪可同时用两根枪管开火。使用12ga鹿弹和独头弹。",

"str_iz_cfgweapons_mp133shotgun0","Baikal MP-133","Baikal MP-133","Baikal MP-133","Baikal MP-133","Baikal MP-133","Baikal MP-133","Baikal MP-133","Baikal MP-133","Baikal MP-133","Baikal MP-133","Baikal MP-133","Baikal MP-133","Baikal MP-133","Baikal MP-133",
"str_iz_cfgweapons_mp133shotgun1","Six shot pump action shotgun fed from internal magazine. Good for hunting dangerous game. Uses both 12ga bucks and slugs.","Six shot pump action shotgun fed from internal magazine. Good for hunting dangerous game. Uses both 12ga bucks and slugs.","Pumpovací brokovnice na šest ran. Munice dodávána vnitřním zásobníkem. Hodí se k lovu nebezpečné kořisti a používá jednotné střely a broky ráže 12.","6-Schuss-Pump-Action-Schrotflinte mit internem Magazin. Gut für die Jagd auf gefährliche Beute. Nutzt 12ga-Buckshots und Slugs.","Шестизарядное помповое ружье с внутренним магазином. Отлично подходит для охоты на опасных зверей. Использует как обычные ружейные патроны 12 калибра, так и пули для гладкоствольного оружия.","Sześciostrzałowa strzelba powtarzalna z wewnętrznym magazynkiem. Przydatna przy polowaniach na niebezpieczne zwierzęta. Może strzelać breneką i śrutem kalibru 12.","Six shot pump action shotgun fed from internal magazine. Good for hunting dangerous game. Uses both 12ga bucks and slugs.","Fucile a pompa da sei colpi con alimentazione mediante caricatore interno. Ottimo per andare a caccia di animali pericolosi. Utilizza sia pallettoni calibro 12, sia palle.","Escopeta de acción de bombeo, con un cargador interno. Ideal para cazar a presas peligrosas. Usa cartuchos y balas del calibre 12.","Un fusil à pompe à six coups, avec chargeur fixe. Parfait pour chasser le gros gibier. Cartouche calibre 12 à chevrotine ou à balle.","泵動式步槍，可容納六發子彈，以內建彈匣供彈。適合用來狩獵。使用 12ga 鹿彈與金屬彈。","内部マガジンから装填する、6 発ポンプアクション式散弾銃。危険な狩猟に向いている。12ga バックとスラッグの両方を使う。","Six shot pump action shotgun fed from internal magazine. Good for hunting dangerous game. Uses both 12ga bucks and slugs.","从内部弹匣送弹的六发压动式霰弹枪。适合猎取危险的猎物。使用 12ga 铅弹和圆形子弹。",

